x(mm) y(mm) z(mm) px py pz E(MeV)
0.065017 0.000000 -4.769542 0.000000 -1.000000 0.000000 1.000000
-1.448809 0.000000 -3.642495 0.000000 -1.000000 0.000000 1.000000
0.443415 0.000000 0.748424 0.000000 -1.000000 0.000000 1.000000
-0.448950 0.000000 -0.614163 0.000000 -1.000000 0.000000 1.000000
0.114510 0.000000 -1.389088 0.000000 -1.000000 0.000000 1.000000
-0.244707 0.000000 -3.713893 0.000000 -1.000000 0.000000 1.000000
1.905957 0.000000 3.905577 0.000000 -1.000000 0.000000 1.000000
1.467759 0.000000 3.282104 0.000000 -1.000000 0.000000 1.000000
0.483917 0.000000 -3.128581 0.000000 -1.000000 0.000000 1.000000
0.121784 0.000000 1.912375 0.000000 -1.000000 0.000000 1.000000
-1.840522 0.000000 -5.057168 0.000000 -1.000000 0.000000 1.000000
-0.067550 0.000000 4.824347 0.000000 -1.000000 0.000000 1.000000
0.244341 0.000000 3.728390 0.000000 -1.000000 0.000000 1.000000
-0.115305 0.000000 -2.008634 0.000000 -1.000000 0.000000 1.000000
-0.180166 0.000000 -0.765879 0.000000 -1.000000 0.000000 1.000000
0.464489 0.000000 0.335673 0.000000 -1.000000 0.000000 1.000000
1.062148 0.000000 5.883590 0.000000 -1.000000 0.000000 1.000000
-0.380459 0.000000 6.128254 0.000000 -1.000000 0.000000 1.000000
0.614630 0.000000 1.521684 0.000000 -1.000000 0.000000 1.000000
-0.427428 0.000000 -1.027926 0.000000 -1.000000 0.000000 1.000000
-1.424220 0.000000 -4.080928 0.000000 -1.000000 0.000000 1.000000
-1.471314 0.000000 -3.206731 0.000000 -1.000000 0.000000 1.000000
0.217659 0.000000 -2.764842 0.000000 -1.000000 0.000000 1.000000
1.419856 0.000000 4.158847 0.000000 -1.000000 0.000000 1.000000
0.549116 0.000000 2.773972 0.000000 -1.000000 0.000000 1.000000
0.886203 0.000000 1.374770 0.000000 -1.000000 0.000000 1.000000
2.758883 0.000000 -5.337494 0.000000 -1.000000 0.000000 1.000000
0.732293 0.000000 0.122977 0.000000 -1.000000 0.000000 1.000000
0.946763 0.000000 3.191360 0.000000 -1.000000 0.000000 1.000000
1.660732 0.000000 3.491495 0.000000 -1.000000 0.000000 1.000000
-2.753433 0.000000 5.180285 0.000000 -1.000000 0.000000 1.000000
1.824255 0.000000 5.294567 0.000000 -1.000000 0.000000 1.000000
-0.190276 0.000000 2.894640 0.000000 -1.000000 0.000000 1.000000
0.421783 0.000000 1.160096 0.000000 -1.000000 0.000000 1.000000
-0.734945 0.000000 -0.047032 0.000000 -1.000000 0.000000 1.000000
-0.469844 0.000000 -0.200877 0.000000 -1.000000 0.000000 1.000000
-0.880070 0.000000 -1.468594 0.000000 -1.000000 0.000000 1.000000
0.063570 0.000000 2.245290 0.000000 -1.000000 0.000000 1.000000
-0.671625 0.000000 2.354367 0.000000 -1.000000 0.000000 1.000000
