x(mm) y(mm) z(mm) px py pz E(MeV)
0.371209 100.000000 -5.918750 0.000000 -1.000000 0.000000 1.000000
0.681170 100.000000 -7.587207 0.000000 -1.000000 0.000000 1.000000
0.157269 100.000000 -2.223161 0.000000 -1.000000 0.000000 1.000000
0.135884 100.000000 -1.804507 0.000000 -1.000000 0.000000 1.000000
0.692443 100.000000 -2.729913 0.000000 -1.000000 0.000000 1.000000
-1.077424 100.000000 -5.655162 0.000000 -1.000000 0.000000 1.000000
0.143549 100.000000 1.499813 0.000000 -1.000000 0.000000 1.000000
-0.584506 100.000000 -2.096085 0.000000 -1.000000 0.000000 1.000000
-0.126500 100.000000 1.642500 0.000000 -1.000000 0.000000 1.000000
1.881742 100.000000 4.363022 0.000000 -1.000000 0.000000 1.000000
-0.472430 100.000000 3.422357 0.000000 -1.000000 0.000000 1.000000
-0.409649 100.000000 2.155098 0.000000 -1.000000 0.000000 1.000000
-0.169339 100.000000 2.478725 0.000000 -1.000000 0.000000 1.000000
0.409927 100.000000 -2.146425 0.000000 -1.000000 0.000000 1.000000
0.472724 100.000000 -3.414561 0.000000 -1.000000 0.000000 1.000000
0.776415 100.000000 -4.464952 0.000000 -1.000000 0.000000 1.000000
-1.869181 100.000000 -4.590438 0.000000 -1.000000 0.000000 1.000000
-0.941863 100.000000 -3.317004 0.000000 -1.000000 0.000000 1.000000
-1.656071 100.000000 -3.624969 0.000000 -1.000000 0.000000 1.000000
-0.158832 100.000000 -1.180186 0.000000 -1.000000 0.000000 1.000000
-0.960703 100.000000 3.062525 0.000000 -1.000000 0.000000 1.000000
1.854547 100.000000 4.827164 0.000000 -1.000000 0.000000 1.000000
-0.778152 100.000000 4.511885 0.000000 -1.000000 0.000000 1.000000
0.330115 100.000000 2.039737 0.000000 -1.000000 0.000000 1.000000
0.571662 100.000000 2.356547 0.000000 -1.000000 0.000000 1.000000
0.593564 100.000000 1.937777 0.000000 -1.000000 0.000000 1.000000
0.165176 100.000000 1.084403 0.000000 -1.000000 0.000000 1.000000
-0.137127 100.000000 -1.596347 0.000000 -1.000000 0.000000 1.000000
-1.894731 100.000000 -4.128487 0.000000 -1.000000 0.000000 1.000000
-0.330378 100.000000 -2.024101 0.000000 -1.000000 0.000000 1.000000
1.444831 100.000000 3.719704 0.000000 -1.000000 0.000000 1.000000
-1.084550 100.000000 5.791775 0.000000 -1.000000 0.000000 1.000000
1.212850 100.000000 3.154074 0.000000 -1.000000 0.000000 1.000000
0.709319 100.000000 7.670722 0.000000 -1.000000 0.000000 1.000000
-0.605873 100.000000 -1.678672 0.000000 -1.000000 0.000000 1.000000
0.178454 100.000000 -2.641045 0.000000 -1.000000 0.000000 1.000000
-0.562391 100.000000 -2.515009 0.000000 -1.000000 0.000000 1.000000
0.065017 100.000000 -4.769542 0.000000 -1.000000 0.000000 1.000000
-1.448809 100.000000 -3.642495 0.000000 -1.000000 0.000000 1.000000
0.443415 100.000000 0.748424 0.000000 -1.000000 0.000000 1.000000
-0.448950 100.000000 -0.614163 0.000000 -1.000000 0.000000 1.000000
0.114510 100.000000 -1.389088 0.000000 -1.000000 0.000000 1.000000
-0.244707 100.000000 -3.713893 0.000000 -1.000000 0.000000 1.000000
1.905957 100.000000 3.905577 0.000000 -1.000000 0.000000 1.000000
1.467759 100.000000 3.282104 0.000000 -1.000000 0.000000 1.000000
0.483917 100.000000 -3.128581 0.000000 -1.000000 0.000000 1.000000
0.121784 100.000000 1.912375 0.000000 -1.000000 0.000000 1.000000
-1.840522 100.000000 -5.057168 0.000000 -1.000000 0.000000 1.000000
-0.067550 100.000000 4.824347 0.000000 -1.000000 0.000000 1.000000
0.244341 100.000000 3.728390 0.000000 -1.000000 0.000000 1.000000
-0.115305 100.000000 -2.008634 0.000000 -1.000000 0.000000 1.000000
-0.180166 100.000000 -0.765879 0.000000 -1.000000 0.000000 1.000000
0.464489 100.000000 0.335673 0.000000 -1.000000 0.000000 1.000000
1.062148 100.000000 5.883590 0.000000 -1.000000 0.000000 1.000000
-0.380459 100.000000 6.128254 0.000000 -1.000000 0.000000 1.000000
0.614630 100.000000 1.521684 0.000000 -1.000000 0.000000 1.000000
-0.427428 100.000000 -1.027926 0.000000 -1.000000 0.000000 1.000000
-1.424220 100.000000 -4.080928 0.000000 -1.000000 0.000000 1.000000
-1.471314 100.000000 -3.206731 0.000000 -1.000000 0.000000 1.000000
0.217659 100.000000 -2.764842 0.000000 -1.000000 0.000000 1.000000
1.419856 100.000000 4.158847 0.000000 -1.000000 0.000000 1.000000
0.549116 100.000000 2.773972 0.000000 -1.000000 0.000000 1.000000
0.886203 100.000000 1.374770 0.000000 -1.000000 0.000000 1.000000
