Energy(KeV) X(cm) Y(cm) Z(cm) px py pz
51.2291 0.332513 0.0262849 0.596306 30.8316 0.508909 40.9093
48.4985 -1.4264 0.151246 0.578744 -46.5444 -2.79892 13.3377
56.9918 0.959379 0.442019 0.537878 46.2595 22.6629 24.3829
61.8048 -0.0833634 0.301514 0.557625 19.9437 37.9718 44.4997
41.6325 0.228231 0.173877 0.575563 11.9697 -1.91229 39.8288
44.9557 0.327556 -0.191954 0.626977 15.7718 -20.0868 36.9971
55.5223 -1.02647 0.212094 0.570192 -48.6104 7.13286 25.8626
60.6952 0.0640069 0.530664 0.52542 25.1515 34.7542 42.9355
64.2557 0.25331 -0.189734 0.626665 14.5363 2.92063 62.5217
42.4502 -0.185973 -0.0243496 0.603422 5.08848 5.75503 41.7494
54.6112 0.296298 0.21836 0.569312 19.4087 37.2967 34.8517
61.8139 -0.239479 0.724756 0.498142 -26.0637 45.119 33.2554
58.0996 0.616226 0.0374446 0.594738 37.8953 -15.2483 41.3158
41.0084 0.322624 0.252034 0.564579 14.374 2.62947 38.3166
55.3696 -0.0510023 0.138447 0.580543 17.1404 -5.85249 52.3235
59.2957 -0.439763 0.390533 0.545114 -37.2723 24.5192 39.0584
45.051 0.0602291 0.326474 0.554117 -17.2389 13.03 39.5301
52.6677 0.326485 0.344355 0.551604 32.9153 14.5739 38.4457
46.5761 0.0161276 0.424213 0.540381 -11.8509 18.4251 41.1024
53.7436 0.22858 0.0187346 0.597367 7.96589 -23.8014 47.5227
53.6429 -0.198074 0.366406 0.548505 -1.20447 33.6694 41.743
48.5038 0.142771 0.0389085 0.594532 30.2758 -11.1706 36.2107
70.5007 0.248017 0.0897529 0.587386 10.9952 14.7479 68.0584
63.1677 0.055162 0.721431 0.49861 7.66215 54.7304 30.5946
64.1745 -0.155179 0.52078 0.526809 -1.23436 39.954 50.2048
38.7114 0.291746 -0.253505 0.635628 10.1621 -26.6044 26.2205
60.3219 0.782195 0.273967 0.561496 55.7249 6.86819 22.0523
40.8548 -0.0479927 -0.138449 0.619458 -7.04415 -24.5028 31.9235
65.778 0.311901 0.338039 0.552492 26.3377 31.2932 51.5151
66.6241 0.347845 -0.141671 0.619911 33.1814 2.94858 57.6981
62.6388 -0.334487 -0.155192 0.621811 -8.69036 -27.0908 55.8048
47.8029 -0.104729 0.346979 0.551235 8.73857 22.2172 41.4144
43.7315 -0.0459858 0.194082 0.572724 -10.8095 7.18702 41.7606
63.369 0.155361 0.993529 0.460369 8.00712 58.6614 22.5911
68.8085 -0.226722 0.595879 0.516255 -36.1663 46.0445 36.1457
66.5504 -0.0777689 0.247459 0.565222 7.83869 39.3007 53.1316
52.2439 -0.168207 0.15035 0.57887 -31.8842 0.787067 41.3788
42.6528 -0.0258059 0.0216528 0.596957 6.61316 -12.0179 40.3869
43.3693 -0.265171 0.178523 0.57491 -11.9746 0.957378 41.6724
55.0836 -0.176009 0.345777 0.551404 -9.84611 12.0874 52.8314
57.8429 0.0436264 -0.104571 0.614697 4.78918 -27.0202 50.9193
46.2931 0.137611 0.0451905 0.593649 26.6693 -10.4559 36.3658
66.0123 0.0740799 0.675403 0.505078 10.5873 58.2714 29.1544
43.6762 -0.0734262 0.143304 0.57986 -22.2827 -6.58849 36.9823
